時間帯,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日
0,0.050980392156862744,0.032699619771863114,0.014598540145985401,0.03289473684210526,0.04424778761061947,0.03680981595092025,0.016
1,0.06896551724137931,0.07407407407407407,0.037037037037037035,0.0,0.06451612903225806,0.036153846153846154,0.0196078431372549
2,0.034375,0.05555555555555555,0.1,0.046511627906976744,0.0,0.0,0.03333333333333333
3,0.08333333333333333,0.0,0.07692307692307693,0.0,0.0,0.07631578947368421,0.0
4,0.0,0.06451612903225806,0.0,0.0,0.07692307692307693,0.0,0.2857142857142857
5,0.05555555555555555,0.06896551724137931,0.05263157894736842,0.023809523809523808,0.0,0.11538461538461539,0.08695652173913043
6,0.01524390243902439,0.03494623655913978,0.04199475065616798,0.026213333333333335,0.03439153439153439,0.037719298245614034,0.0197196261682243
7,0.02882703777335984,0.04215384615384616,0.02252252252252252,0.013878205128205128,0.026815476190476188,0.03535353535353535,0.013126491646778043
8,0.027167300380228136,0.03992015968063872,0.025959409594095942,0.03429602888086643,0.031177474402730374,0.024883720930232556,0.033185840707964605
9,0.034380403458213256,0.021727467811158797,0.03343108504398827,0.0262891809908999,0.043039370078740154,0.030833333333333334,0.023608768971332208
10,0.026728624535315982,0.035156626506024094,0.017640099626400996,0.024865810968494752,0.02869140625,0.027118402282453633,0.023040650406504066
11,0.02417487684729064,0.03961038961038961,0.04363031914893618,0.041125,0.039395161290322576,0.030537124802527644,0.04147566718995291
12,0.044336609336609344,0.039011264080100125,0.01839248434237996,0.037505995203836934,0.0401150895140665,0.03835021707670044,0.031089552238805968
13,0.018703225806451614,0.023690007867820613,0.027446300715990454,0.028836363636363636,0.034960937500000004,0.033328358208955224,0.028530670470756064
14,0.023075356415478615,0.028983783783783787,0.02827455919395466,0.03288860103626943,0.036055555555555556,0.027848837209302327,0.037446504992867335
15,0.031045673076923075,0.02723021582733813,0.034101825168107586,0.04254098360655738,0.031802816901408446,0.023354330708661417,0.018867924528301886
16,0.027419354838709678,0.03288490284005979,0.02803840877914952,0.04089506172839506,0.027807017543859648,0.03355704697986577,0.024688195991091316
17,0.02771513353115727,0.03349206349206349,0.01753721244925575,0.02901639344262295,0.037162162162162164,0.03046875,0.029921874999999997
18,0.021505376344086023,0.038482871125611745,0.03924528301886793,0.03770491803278689,0.034355140186915885,0.02673507462686567,0.017077798861480076
19,0.020202020202020204,0.03985507246376811,0.022746031746031747,0.024515570934256055,0.02355072463768116,0.03,0.02815533980582524
20,0.03607717041800643,0.01955801104972376,0.021476635514018693,0.021916083916083916,0.02314878892733564,0.02265625,0.012269938650306749
21,0.04255,0.016359918200409,0.027357142857142858,0.03111587982832618,0.02588621444201313,0.01948051948051948,0.0189873417721519
22,0.027400881057268723,0.028729411764705885,0.03115281501340483,0.04188034188034188,0.01905852417302799,0.014925373134328358,0.027427745664739885
23,0.027303754266211604,0.020066889632107024,0.027801724137931035,0.03518181818181818,0.012944983818770227,0.014579439252336448,0.010273972602739725
